인덱스,팀명,YEAR,종합순위,ERA(투수),G(투수),W(투수),L(투수),SV(투수),HLD(투수),WPCT(투수),IP(투수),H(투수),HR(투수),BB(투수),HBP(투수),SO(투수),R(투수),ER(투수),WHIP(투수),CG(투수),SHO(투수),QS(투수),BSV(투수),TBF(투수),NP(투수),AVG(투수),2B(투수),3B(투수),SAC(투수),SF(투수),IBB(투수),WP(투수),BK(투수),AVG(타자),PA(타자),AB(타자),R(타자),H(타자),2B(타자),3B(타자),HR(타자),TB(타자),RBI(타자),SAC(타자),SF(타자),BB(타자),IBB(타자),HBP(타자),SO(타자),GDP(타자),SLG(타자),OBP(타자),OPS(타자),MH(타자),RISP(타자),PH-BA(타자),E(수비),PKO(수비),PO(수비),A(수비),DP(수비),FPCT(수비),PB(수비),SB(수비),CS(수비),CS%(수비),SBA(수비),SB(주루),CS(주루),SB%(주루),OOB(주루),PKO(주루),순위등락,ERA(투수)_현재성장,G(투수)_현재성장,W(투수)_현재성장,L(투수)_현재성장,SV(투수)_현재성장,HLD(투수)_현재성장,WPCT(투수)_현재성장,IP(투수)_현재성장,H(투수)_현재성장,HR(투수)_현재성장,BB(투수)_현재성장,HBP(투수)_현재성장,SO(투수)_현재성장,R(투수)_현재성장,ER(투수)_현재성장,WHIP(투수)_현재성장,CG(투수)_현재성장,SHO(투수)_현재성장,QS(투수)_현재성장,BSV(투수)_현재성장,TBF(투수)_현재성장,NP(투수)_현재성장,AVG(투수)_현재성장,2B(투수)_현재성장,3B(투수)_현재성장,SAC(투수)_현재성장,SF(투수)_현재성장,IBB(투수)_현재성장,WP(투수)_현재성장,BK(투수)_현재성장,AVG(타자)_현재성장,PA(타자)_현재성장,AB(타자)_현재성장,R(타자)_현재성장,H(타자)_현재성장,2B(타자)_현재성장,3B(타자)_현재성장,HR(타자)_현재성장,TB(타자)_현재성장,RBI(타자)_현재성장,SAC(타자)_현재성장,SF(타자)_현재성장,BB(타자)_현재성장,IBB(타자)_현재성장,HBP(타자)_현재성장,SO(타자)_현재성장,GDP(타자)_현재성장,SLG(타자)_현재성장,OBP(타자)_현재성장,OPS(타자)_현재성장,MH(타자)_현재성장,RISP(타자)_현재성장,PH-BA(타자)_현재성장,E(수비)_현재성장,PKO(수비)_현재성장,PO(수비)_현재성장,A(수비)_현재성장,DP(수비)_현재성장,FPCT(수비)_현재성장,PB(수비)_현재성장,SB(수비)_현재성장,CS(수비)_현재성장,CS%(수비)_현재성장,SBA(수비)_현재성장,SB(주루)_현재성장,CS(주루)_현재성장,SB%(주루)_현재성장,OOB(주루)_현재성장,PKO(주루)_현재성장,ERA(투수)_1년전성장,G(투수)_1년전성장,W(투수)_1년전성장,L(투수)_1년전성장,SV(투수)_1년전성장,HLD(투수)_1년전성장,WPCT(투수)_1년전성장,IP(투수)_1년전성장,H(투수)_1년전성장,HR(투수)_1년전성장,BB(투수)_1년전성장,HBP(투수)_1년전성장,SO(투수)_1년전성장,R(투수)_1년전성장,ER(투수)_1년전성장,WHIP(투수)_1년전성장,CG(투수)_1년전성장,SHO(투수)_1년전성장,QS(투수)_1년전성장,BSV(투수)_1년전성장,TBF(투수)_1년전성장,NP(투수)_1년전성장,AVG(투수)_1년전성장,2B(투수)_1년전성장,3B(투수)_1년전성장,SAC(투수)_1년전성장,SF(투수)_1년전성장,IBB(투수)_1년전성장,WP(투수)_1년전성장,BK(투수)_1년전성장,AVG(타자)_1년전성장,PA(타자)_1년전성장,AB(타자)_1년전성장,R(타자)_1년전성장,H(타자)_1년전성장,2B(타자)_1년전성장,3B(타자)_1년전성장,HR(타자)_1년전성장,TB(타자)_1년전성장,RBI(타자)_1년전성장,SAC(타자)_1년전성장,SF(타자)_1년전성장,BB(타자)_1년전성장,IBB(타자)_1년전성장,HBP(타자)_1년전성장,SO(타자)_1년전성장,GDP(타자)_1년전성장,SLG(타자)_1년전성장,OBP(타자)_1년전성장,OPS(타자)_1년전성장,MH(타자)_1년전성장,RISP(타자)_1년전성장,PH-BA(타자)_1년전성장,E(수비)_1년전성장,PKO(수비)_1년전성장,PO(수비)_1년전성장,A(수비)_1년전성장,DP(수비)_1년전성장,FPCT(수비)_1년전성장,PB(수비)_1년전성장,SB(수비)_1년전성장,CS(수비)_1년전성장,CS%(수비)_1년전성장,SBA(수비)_1년전성장,SB(주루)_1년전성장,CS(주루)_1년전성장,SB%(주루)_1년전성장,OOB(주루)_1년전성장,PKO(주루)_1년전성장,순위등락_1년전성장
2015두산,두산,2015,1,5.02,144,79,65,30,57,0.549,1286,1385,138,584,77,1064,776,718,1.53,3,10,58,18,5762,22557,0.28,248,22,104,45,15,72,11,0.29,5759,4957,807,1436,254,22,140,2154,770,75,60,567,24,99,820,139,0.435,0.37,0.805,143,0.287,0.262,93,7,3858,1498,134,0.983,6,109,48,30.6,158,111,47,70.3,56,6,5,-0.41,16,20,-3,11,-4,0.084,162.3333333,74,17,134,19,224,43,40,-0.04,-1,8,16,4,696,2887,-0.015,5,-7,41,-10,11,16,7,-0.003,676,530,120,137,19,-4,32,244,124,-6,17,99,14,35,89,36,0.004,0.004,0.008,15,0.005,0.068,12,4,487,230,32,0,-1,-4,2,1.7,3,0,3,-1.3,6,0,0.86,0,-12,14,19,19,-0.103,-26.66666667,128,37,-64,-18,-8,108,94,0.09,3,-6,-2,-3,23,-37,0.023,36,-1,-4,16,-6,1,-2,0.004,-59,26,-12,28,18,-11,13,63,-8,-1,-13,-56,-9,-15,14,-2,0.011,-0.004,0.007,0,-0.007,-0.101,20,-3,-80,-104,-31,-0.005,-1,-1,-13,-5.2,-78,-61,-17,-2.2,-3,-9,-4
2015삼성,삼성,2015,2,4.69,144,88,56,34,60,0.611,1275 1/3,1323,182,423,64,1194,716,665,1.37,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2,0.302,5803,5019,897,1515,259,25,176,2352,850,76,57,581,21,70,930,109,0.469,0.378,0.847,143,0.311,0.239,96,9,3826,1304,104,0.982,8,80,49,38,209,157,52,75.1,60,6,-1,0.17,16,10,9,-1,-5,-0.013,131.3333333,106,62,28,3,198,95,90,-0.04,1,1,12,-8,533,2204,-0.007,13,-7,1,-3,0,-7,-1,0.001,651,555,85,170,21,2,15,240,87,0,14,74,10,8,187,21,-0.004,0.001,-0.003,15,-0.016,0.016,19,3,394,133,0,-0.002,0,-20,5,7.4,2,-4,6,-2.7,0,-4,0.54,0,3,-4,35,16,0.029,-2.666666667,98,22,-16,1,41,76,68,0.08,1,1,-7,11,94,378,0.016,63,3,-4,11,-1,7,-1,0.018,110,94,143,110,26,6,48,292,139,-8,2,54,2,-31,-75,-10,0.057,0.018,0.075,0,0.029,0.015,1,-6,-8,-55,-9,0,0,-28,-2,4.2,71,66,5,7.9,2,4,0
2015NC,NC,2015,3,4.26,144,84,57,37,55,0.596,1279 1/3,1283,149,436,113,1057,655,605,1.34,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3,0.289,5727,4967,844,1437,283,28,161,2259,802,64,53,536,25,106,1023,105,0.455,0.367,0.822,144,0.293,0.28,83,3,3838,1460,133,0.985,5,85,37,30.3,264,204,60,77.3,50,14,0,-0.03,16,14,0,6,-4,0.045,143.6666667,109,32,-45,40,209,47,64,-0.12,-2,7,-4,-8,533,2330,-0.007,-2,5,1,12,5,10,-2,0.007,696,541,107,188,55,-8,18,281,105,20,2,93,16,39,105,15,0.008,0.014,0.022,17,-0.007,0.023,-4,-3,431,76,8,0.003,-4,-9,-6,-1.1,63,50,13,0.7,6,7,0.33,0,18,-15,31,28,0.132,-8.666666667,97,21,23,-21,-9,57,38,0.12,-2,-1,-15,-2,84,233,0.017,47,-3,-6,-12,-5,-10,-1,0.038,165,144,225,204,19,11,57,416,212,-11,20,9,-2,5,-37,-4,0.082,0.033,0.115,0,0.043,0.081,-6,-4,-26,11,4,0.001,1,7,-12,-7.3,12,12,0,1.5,9,-12,4
2015넥센,넥센,2015,4,4.91,144,78,65,29,44,0.545,1286,1404,146,518,81,1066,790,701,1.49,1,7,49,11,5709,22181,0.281,236,28,70,45,8,85,4,0.298,5811,5069,904,1512,304,20,203,2465,855,61,55,544,18,82,1098,112,0.486,0.372,0.858,141,0.298,0.27,110,24,3858,1540,138,0.98,10,111,52,31.9,147,100,47,68,72,16,-2,-0.34,16,0,17,-6,-11,-0.074,154.3333333,105,4,2,20,165,74,41,-0.11,1,4,6,-1,602,1453,-0.012,5,10,13,9,6,30,0,0,648,635,63,189,29,-11,4,208,69,-4,15,21,8,-19,249,12,-0.023,-0.01,-0.033,13,0.012,0.037,31,12,463,198,13,-0.004,3,-7,8,4.7,3,0,3,-1.4,18,3,1.13,0,6,-6,35,-15,0.048,-14.66666667,139,67,13,-23,41,140,135,0.15,0,-4,-10,0,111,1090,0.023,29,-3,-14,-1,-6,3,1,0.026,148,140,195,156,66,20,74,484,179,-11,-2,18,-2,3,-63,6,0.096,0.024,0.12,1,0.006,0.033,-18,-3,-44,-121,-17,0.003,-4,-15,-21,-5.6,-52,-31,-21,2.6,-1,-1,2
2015SK,SK,2015,5,4.71,144,69,73,31,60,0.486,1280 2/3,1358,153,517,70,1149,724,670,1.46,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4,0.272,5588,4861,693,1323,214,10,145,1992,656,110,29,490,13,98,1047,113,0.41,0.349,0.759,144,0.28,0.227,95,7,3842,1471,130,0.982,6,108,51,32.1,153,94,59,61.4,59,14,0,-0.8,16,8,8,5,16,0.002,151.3333333,87,0,-5,2,312,-36,-22,-0.13,1,4,16,-3,534,2049,-0.012,31,-10,17,2,12,4,3,-0.019,506,438,-42,38,-31,-12,30,73,-40,19,-20,43,1,26,121,21,-0.024,-0.012,-0.036,16,-0.021,-0.078,-12,4,454,98,-2,0.004,0,5,0,-1,-32,-45,13,-13.7,9,3,1.35,0,-1,2,26,6,-0.012,-9.666666667,180,52,17,-2,-41,189,165,0.19,-2,-5,-24,-2,180,1033,0.03,22,9,-15,-6,4,1,-4,0.026,132,145,147,151,56,2,-9,184,138,8,12,-18,-14,-14,8,-7,0.028,0.015,0.043,0,0.035,0.06,23,-11,-29,23,4,-0.005,-5,22,4,-3.6,-22,-5,-17,5.5,8,-2,1
2015한화,한화,2015,6,5.11,144,68,76,32,44,0.472,1279 2/3,1349,157,648,96,920,800,727,1.56,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9,0.271,5716,4852,717,1316,218,19,130,1962,667,139,35,581,33,109,1135,112,0.404,0.36,0.764,144,0.269,0.207,105,9,3839,1582,145,0.981,14,165,63,27.6,127,80,47,63,57,14,3,-1.24,16,19,-1,6,14,0.083,150.6666667,-102,-5,111,15,172,-89,-69,-0.2,3,4,0,3,459,2460,-0.043,-33,-36,13,-14,24,2,6,-0.012,661,435,98,65,-5,-5,26,128,73,89,-8,91,28,54,296,-13,-0.011,0.001,-0.01,16,0.003,-0.014,-8,2,452,238,19,0.004,2,55,4,-7.3,16,10,6,-0.1,11,9,1.04,0,7,-8,26,-4,0.058,0,256,64,5,-14,-74,178,130,0.23,0,1,3,3,239,894,0.042,38,16,-9,16,-3,-6,-5,0.024,140,146,139,145,11,11,57,349,146,-4,13,11,-6,-25,-94,-15,0.067,0.016,0.083,0,0.013,0.01,39,2,0,43,23,-0.007,0,-49,3,8.9,-8,0,-8,4.3,-10,-4,0
2015KIA,KIA,2015,7,4.79,144,67,77,32,65,0.465,1273,1371,143,572,98,979,739,678,1.53,1,10,44,17,5673,22126,0.283,252,31,101,49,22,80,4,0.251,5454,4777,648,1197,223,22,136,1872,602,79,43,454,16,101,1126,105,0.392,0.326,0.718,144,0.248,0.198,84,14,3819,1537,148,0.985,6,140,56,28.6,165,115,50,69.7,60,13,1,-1.03,16,13,3,6,25,0.043,151.3333333,82,27,11,31,83,-49,-47,-0.12,-1,5,2,-4,530,1854,-0.01,0,-1,35,-3,14,2,3,-0.037,431,334,-14,-82,-23,-5,15,-70,-29,12,8,38,5,39,256,10,-0.045,-0.029,-0.074,16,-0.01,-0.037,-10,7,454,189,17,0.005,-1,-22,-8,0.3,-19,-6,-13,3.9,1,6,0.7,0,3,0,26,-10,0.014,-20.66666667,-18,28,29,-9,-27,77,75,0.04,0,2,-6,9,-57,-37,0,-7,4,-13,4,-4,5,-5,0.027,-28,125,75,154,51,14,33,332,86,-11,-7,-121,3,-13,6,-15,0.064,0.006,0.07,1,0,-0.005,23,-3,-62,30,28,-0.005,-3,-31,7,5.5,-4,-20,16,-9.2,9,0,0
2015롯데,롯데,2015,8,5.07,144,66,77,19,47,0.462,1281 1/3,1461,164,489,87,1015,802,722,1.52,3,5,59,18,5724,22356,0.291,253,13,76,49,26,89,3,0.28,5680,4972,765,1393,254,19,177,2216,727,80,28,532,22,68,1186,136,0.446,0.356,0.802,144,0.274,0.183,114,10,3844,1569,138,0.979,16,107,54,33.5,154,104,50,67.5,56,9,-1,-0.12,16,8,8,-9,-17,0.005,148,151,37,18,35,234,83,68,-0.05,3,1,13,4,632,2595,-0.004,3,-13,-6,7,13,35,2,-0.007,486,485,49,105,2,-7,56,261,42,18,-13,-2,3,-2,222,41,0.01,-0.013,-0.003,17,-0.009,-0.062,25,-6,444,162,4,-0.003,5,23,17,2.9,50,41,9,6.9,7,7,1.26,0,-8,11,28,0,-0.075,-16,162,43,-18,-10,-39,166,152,0.15,-1,-7,-22,-7,106,343,0.028,70,13,-12,6,-2,9,1,0.026,216,198,160,170,44,8,60,410,163,-12,0,32,-3,-2,102,3,0.076,0.024,0.1,-1,0.024,-0.034,-9,-10,-48,-42,20,0.002,9,-29,-29,-6.3,-87,-70,-17,-9,-17,-10,-2
2015LG,LG,2015,9,4.62,144,64,78,25,44,0.451,1279 2/3,1352,125,490,98,1063,721,657,1.44,3,5,57,15,5599,21661,0.277,227,26,91,37,30,82,3,0.269,5599,4941,653,1331,252,22,114,1969,601,75,41,462,18,80,1076,98,0.399,0.339,0.738,144,0.245,0.218,103,14,3839,1608,162,0.981,8,127,52,29.1,175,113,62,64.6,55,9,-5,0.04,16,2,14,-10,-21,-0.041,137,141,21,71,3,253,78,76,0.01,1,-4,10,-6,571,2221,0.002,32,-1,19,-7,5,31,2,-0.01,529,592,-15,117,39,0,24,228,-21,-2,-16,-62,1,17,259,-14,-0.001,-0.022,-0.023,17,-0.045,0.016,12,4,411,194,37,-0.001,-1,8,4,0.4,6,8,-2,2.5,4,0,0.86,0,-12,10,35,-21,-0.086,8,80,30,13,8,-12,133,112,0.08,-2,0,-8,10,180,726,0.009,12,7,13,6,-2,5,-1,-0.003,136,58,52,4,19,-16,31,84,48,-14,15,73,6,4,11,32,0.014,0.006,0.02,-1,-0.005,-0.05,14,-4,24,-22,-40,-0.002,1,-4,-3,-0.6,-41,-34,-7,-4.1,-18,-8,-1
2015kt,kt,2015,10,5.56,144,52,91,16,31,0.364,1266 2/3,1518,154,577,87,1046,875,782,1.65,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4,0.273,5605,4927,670,1344,221,15,129,1982,633,75,37,507,21,58,1112,118,0.402,0.345,0.747,142,0.272,0.267,118,14,3800,1530,159,0.978,6,139,64,31.5,176,124,52,70.5,58,10,,0.07,0.85840708,0.849557522,0.212389381,2.734513274,2.628318584,0.002283186,7.542772861,21.15044248,0.911504425,7.097345133,-0.761061947,4.769911504,14.85840708,13.80530973,0.013893805,-0.247787611,-0.123893805,-0.132743363,1.115044248,49.42477876,196.4778761,0.00199115,3.03539823,0.522123894,-0.513274336,1.185840708,-0.601769912,1.477876106,0.203539823,0.002477876,52.54867257,41.98230088,16.99115044,23.38938053,3.097345133,0.362831858,1.327433628,31.19469027,15.76106195,0.132743363,1.451327434,8.911504425,-0.451327434,0.123893805,1.681415929,1.539823009,0.002831858,0.002654867,0.005486726,0.867256637,0.002849558,0.005017699,0.814159292,0.008849558,22.62831858,6.309734513,1.03539823,-6.19E-05,-0.159292035,0.03539823,0.008849558,-0.045132743,-0.415929204,-0.610619469,0.194690265,-0.14159292,0.85840708,0.07079646,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
2014삼성,삼성,2014,1,4.52,128,78,47,35,65,0.624,1144,1217,120,395,61,996,621,575,1.41,3,6,63,18,4990,19628,0.275,257,24,66,40,11,51,3,0.301,5152,4464,812,1345,238,23,161,2112,763,76,43,507,11,62,743,88,0.473,0.377,0.85,128,0.327,0.223,77,6,3432,1171,104,0.984,8,100,44,30.6,207,161,46,77.8,60,10,0,0.54,0,3,-4,35,16,0.029,-2.666666667,98,22,-16,1,41,76,68,0.08,1,1,-7,11,94,378,0.016,63,3,-4,11,-1,7,-1,0.018,110,94,143,110,26,6,48,292,139,-8,2,54,2,-31,-75,-10,0.057,0.018,0.075,0,0.029,0.015,1,-6,-8,-55,-9,0,0,-28,-2,4.2,71,66,5,7.9,2,4,0.59,-5,-5,0,0,-22,-0.016,-41,34,33,27,23,70,72,59,0.09,-1,-8,3,2,-45,176,0.012,-2,0,-12,-14,-2,-2,-1,0.011,-119,-66,41,30,12,-9,24,96,39,-7,-6,-47,-10,7,5,7,0.027,0.006,0.033,-4,0.025,0.039,9,-1,-123,-111,8,-0.003,1,6,-3,-2.3,-37,-30,-7,-2.4,-5,-2,0
2014넥센,넥센,2014,2,5.25,128,78,48,35,55,0.619,1131 2/3,1299,142,516,61,901,716,660,1.6,0,3,43,12,5107,20728,0.293,231,18,57,36,2,55,4,0.298,5163,4434,841,1323,275,31,199,2257,786,65,40,523,10,101,849,100,0.509,0.382,0.891,128,0.286,0.233,79,12,3395,1342,125,0.984,7,118,44,27.2,144,100,44,69.4,54,13,2,1.13,0,6,-6,35,-15,0.048,-14.66666667,139,67,13,-23,41,140,135,0.15,0,-4,-10,0,111,1090,0.023,29,-3,-14,-1,-6,3,1,0.026,148,140,195,156,66,20,74,484,179,-11,-2,18,-2,3,-63,6,0.096,0.024,0.12,1,0.006,0.033,-18,-3,-44,-121,-17,0.003,-4,-15,-21,-5.6,-52,-31,-21,2.6,-1,-1,0.29,-5,11,-15,0,36,0.102,-41,29,-5,-32,10,7,25,20,0.05,-3,1,-11,1,-120,-105,0.011,0,3,-33,-6,-1,-10,3,0.029,-6,-44,97,111,20,-17,23,166,98,-16,-1,29,-5,26,20,15,0.043,0.033,0.076,-5,0.019,0.046,19,3,-123,-47,-3,-0.004,4,-37,11,8.7,-55,-48,-7,-4.5,2,-2,2
2014NC,NC,2014,3,4.29,128,70,57,31,59,0.551,1135 2/3,1174,117,481,73,848,608,541,1.46,3,4,59,19,5003,19320,0.271,223,12,78,38,8,50,5,0.282,5031,4426,737,1249,228,36,143,1978,697,44,51,443,9,67,918,90,0.447,0.353,0.8,127,0.3,0.257,87,6,3407,1384,125,0.982,9,94,43,31.4,201,154,47,76.6,44,7,4,0.33,0,18,-15,31,28,0.132,-8.666666667,97,21,23,-21,-9,57,38,0.12,-2,-1,-15,-2,84,233,0.017,47,-3,-6,-12,-5,-10,-1,0.038,165,144,225,204,19,11,57,416,212,-11,20,9,-2,5,-37,-4,0.082,0.033,0.115,0,0.043,0.081,-6,-4,-26,11,4,0.001,1,7,-12,-7.3,12,12,0,1.5,9,-12,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
2014LG,LG,2014,4,4.58,128,62,64,35,65,0.492,1142 2/3,1211,104,419,95,810,643,581,1.43,2,9,47,21,5028,19440,0.275,195,27,72,44,25,51,1,0.279,5070,4349,668,1214,213,22,90,1741,622,77,57,524,17,63,817,112,0.4,0.361,0.761,127,0.29,0.202,91,10,3428,1414,125,0.982,9,119,48,28.7,169,105,64,62.1,51,9,-1,0.86,0,-12,10,35,-21,-0.086,8,80,30,13,8,-12,133,112,0.08,-2,0,-8,10,180,726,0.009,12,7,13,6,-2,5,-1,-0.003,136,58,52,4,19,-16,31,84,48,-14,15,73,6,4,11,32,0.014,0.006,0.02,-1,-0.005,-0.05,14,-4,24,-22,-40,-0.002,1,-4,-3,-0.6,-41,-34,-7,-4.1,-18,-8,-0.3,-5,17,-18,0,22,0.136,-67.33333333,-104,9,-16,16,87,-70,-68,-0.03,3,-2,7,1,-340,-472,-0.006,-20,-15,-57,-3,4,-11,-4,0.021,-246,-248,72,26,-18,20,0,48,62,11,-8,-7,-8,6,-51,-27,0.032,0.023,0.055,-4,0.042,0.055,-19,2,-202,-122,40,0.002,0,-3,-14,-4.7,13,-1,14,-4.9,8,11,4
2014SK,SK,2014,5,5.51,128,61,65,26,44,0.484,1129 1/3,1271,153,522,68,837,760,692,1.59,2,3,41,15,5112,20141,0.287,239,21,60,36,19,67,1,0.291,5082,4423,735,1285,245,22,115,1919,696,91,49,447,12,72,926,92,0.434,0.361,0.795,128,0.301,0.305,107,3,3388,1373,132,0.978,6,103,51,33.1,185,139,46,75.1,50,11,1,1.35,0,-1,2,26,6,-0.012,-9.666666667,180,52,17,-2,-41,189,165,0.19,-2,-5,-24,-2,180,1033,0.03,22,9,-15,-6,4,1,-4,0.026,132,145,147,151,56,2,-9,184,138,8,12,-18,-14,-14,8,-7,0.028,0.015,0.043,0,0.035,0.06,23,-11,-29,23,4,-0.005,-5,22,4,-3.6,-22,-5,-17,5.5,8,-2,0.34,-5,-9,4,0,-31,-0.05,-42.33333333,-23,11,48,0,64,43,25,0.07,4,-2,11,2,-75,30,0.001,16,-7,-17,10,-11,31,-2,0.007,-46,-69,24,14,-8,5,16,64,35,-35,9,20,7,28,54,14,0.022,0.013,0.035,-3,0.01,0.048,21,5,-127,-64,-15,-0.004,5,-14,-7,0.5,28,40,-12,11.5,-15,9,-4
2014두산,두산,2014,6,5.43,128,59,68,19,61,0.465,1123 2/3,1311,121,450,58,840,733,678,1.57,4,2,42,14,5066,19670,0.295,243,29,63,55,4,56,4,0.293,5083,4427,687,1299,235,26,108,1910,646,81,43,468,10,64,731,103,0.431,0.366,0.797,128,0.282,0.194,81,3,3371,1268,102,0.983,7,113,46,28.9,155,111,44,71.6,50,6,-4,0.86,0,-12,14,19,19,-0.103,-26.66666667,128,37,-64,-18,-8,108,94,0.09,3,-6,-2,-3,23,-37,0.023,36,-1,-4,16,-6,1,-2,0.004,-59,26,-12,28,18,-11,13,63,-8,-1,-13,-56,-9,-15,14,-2,0.011,-0.004,0.007,0,-0.007,-0.101,20,-3,-80,-104,-31,-0.005,-1,-1,-13,-5.2,-78,-61,-17,-2.2,-3,-9,0.99,-5,3,-8,0,-5,0.045,-43,130,18,23,19,46,106,109,0.19,-8,-4,-36,3,31,492,0.029,9,7,-32,5,-7,-2,2,0.029,204,22,175,132,45,11,36,307,164,-20,16,162,7,25,58,-24,0.068,0.048,0.116,-4,0.003,0.094,-17,-5,-129,-100,9,0.003,-4,13,-9,-6.1,66,56,10,4.3,-9,5,1
2014롯데,롯데,2014,7,5.19,128,58,69,28,64,0.457,1133 1/3,1310,127,471,52,781,719,654,1.57,0,4,46,14,5092,19761,0.295,250,26,82,42,13,54,1,0.287,5194,4487,716,1288,252,26,121,1955,685,62,41,534,19,70,964,95,0.436,0.369,0.805,127,0.283,0.245,89,16,3400,1407,134,0.982,11,84,37,30.6,104,63,41,60.6,49,2,-2,1.26,0,-8,11,28,0,-0.075,-16,162,43,-18,-10,-39,166,152,0.15,-1,-7,-22,-7,106,343,0.028,70,13,-12,6,-2,9,1,0.026,216,198,160,170,44,8,60,410,163,-12,0,32,-3,-2,102,3,0.076,0.024,0.1,-1,0.024,-0.034,-9,-10,-48,-42,20,0.002,9,-29,-29,-6.3,-87,-70,-17,-9,-17,-10,0.45,-5,1,-4,0,1,0.02,-41,3,10,20,9,-5,35,42,0.06,-2,2,11,6,-84,-118,0.008,18,6,-2,6,-5,-20,-1,-0.002,-65,-192,47,-61,6,2,-12,-87,43,-33,15,127,3,18,-28,1,-0.004,0.019,0.015,-5,-0.002,0.085,15,18,-123,-20,-5,-0.004,-2,4,5,1,19,14,5,0.4,20,5,-1
2014KIA,KIA,2014,8,5.82,128,54,74,26,40,0.422,1121 2/3,1289,116,561,67,896,788,725,1.65,2,5,42,21,5143,20272,0.293,252,32,66,52,8,78,1,0.288,5023,4443,662,1279,246,27,121,1942,631,67,35,416,11,62,870,95,0.437,0.355,0.792,128,0.258,0.235,94,7,3365,1348,131,0.98,7,162,64,28.3,184,121,63,65.8,59,7,0,0.7,0,3,0,26,-10,0.014,-20.66666667,-18,28,29,-9,-27,77,75,0.04,0,2,-6,9,-57,-37,0,-7,4,-13,4,-4,5,-5,0.027,-28,125,75,154,51,14,33,332,86,-11,-7,-121,3,-13,6,-15,0.064,0.006,0.07,1,0,-0.005,23,-3,-62,30,28,-0.005,-3,-31,7,5.5,-4,-20,16,-9.2,9,0,1.22,-5,-11,9,0,17,-0.08,-41.33333333,146,19,80,8,101,147,137,0.25,-9,-12,-26,-6,99,965,0.031,30,5,-33,10,-1,17,0,0.005,-80,-30,34,13,-2,-6,34,101,27,-54,-5,-7,-10,15,74,10,0.026,0.006,0.032,-5,-0.009,0.062,-17,3,-124,-180,-19,0.002,3,86,8,-8.6,5,9,-4,2.9,-1,-1,-3
2014한화,한화,2014,9,6.35,128,49,77,26,30,0.389,1129,1451,162,537,81,748,889,796,1.76,2,3,37,11,5312,20365,0.318,265,48,69,59,14,83,3,0.283,5055,4417,619,1251,223,24,104,1834,594,50,43,490,5,55,839,125,0.415,0.359,0.774,128,0.266,0.221,113,7,3387,1344,126,0.977,12,110,59,34.9,111,70,41,63.1,46,5,0,1.04,0,7,-8,26,-4,0.058,0,256,64,5,-14,-74,178,130,0.23,0,1,3,3,239,894,0.042,38,16,-9,16,-3,-6,-5,0.024,140,146,139,145,11,11,57,349,146,-4,13,11,-6,-25,-94,-15,0.067,0.016,0.083,0,0.013,0.01,39,2,0,43,23,-0.007,0,-49,3,8.9,-8,0,-8,4.3,-10,-4,0.76,-5,-11,8,0,-20,-0.077,-43.33333333,47,-8,44,27,-114,64,73,0.13,-1,-4,-26,-4,-19,-130,0.013,41,18,-43,-4,-1,7,5,0.01,-142,-60,-29,29,4,1,-24,-37,-31,-46,3,-59,-6,19,26,38,-0.003,0.005,0.002,-5,0,-0.008,1,2,-130,-127,-1,-0.001,3,-6,-4,-0.7,-41,-37,-4,-8.1,6,-7,-1
