"2010-04-04 17:00:00","넥센","LG","5","0","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100404WOLG0&gyear=2010","MS-T","N/A","잠실","-"
"2010-04-04 17:00:00","롯데","KIA","3","2","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100404LTHT0&gyear=2010","KN-T","KNN-R","무등","-"
"2010-04-04 17:00:00","삼성","한화","2","1","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100404SSHH0&gyear=2010","N/A","T-R","대전","-"
"2010-04-06 18:30:00","KIA","SK","3","1","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100406HTSK0&gyear=2010","KN-T","N/A","문학","-"
"2010-04-06 18:30:00","LG","롯데","5","7","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100406LGLT0&gyear=2010","N/A","KNN-R","사직","-"
"2010-04-06 18:30:00","넥센","삼성","3","7","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100406WOSS0&gyear=2010","MS-T","T-R","대구","-"
"2010-04-06 18:30:00","한화","두산","2","3","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100406HHOB0&gyear=2010","N/A","N/A","잠실","-"
"2010-04-07 18:30:00","KIA","SK","5","3","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100407HTSK0&gyear=2010","KN-T","N/A","문학","-"
"2010-04-07 18:30:00","LG","롯데","0","6","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100407LGLT0&gyear=2010","N/A","KNN-R","사직","-"
"2010-04-07 18:30:00","넥센","삼성","1","3","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100407WOSS0&gyear=2010","N/A","T-R","대구","-"
"2010-04-07 18:30:00","한화","두산","2","8","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100407HHOB0&gyear=2010","N/A","N/A","잠실","-"
"2010-04-08 18:30:00","KIA","SK","2","5","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100408HTSK0&gyear=2010","KN-T","N/A","문학","-"
"2010-04-08 18:30:00","LG","롯데","10","2","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100408LGLT0&gyear=2010","N/A","KNN-R","사직","-"
"2010-04-08 18:30:00","넥센","삼성","6","7","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100408WOSS0&gyear=2010","MS-T","T-R","대구","-"
"2010-04-08 18:30:00","한화","두산","4","5","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100408HHOB0&gyear=2010","N/A","N/A","잠실","-"
"2010-04-09 18:30:00","KIA","삼성","5","6","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100409HTSS0&gyear=2010","N/A","T-R","대구","-"
"2010-04-09 18:30:00","LG","두산","7","7","http://www.koreabaseball.com/Schedule/Game/BoxScore.aspx?leagueId=1&seriesId=0&gameId=20100409LGOB0&gyear=2010","N/A","N/A","잠실","-"
